name,startByte,startBit,dtype,size,conversion,unit,description,state,min,max,endian
bct_moon_vector_body2,306,0,sn,16,4.00E-05,none,Moon vector in spacecraft body frame,,,,big
bct_moon_vector_body3,308,0,sn,16,4.00E-05,none,Moon vector in spacecraft body frame,,,,big
bct_mag_model_vector_eci1,310,0,sn,16,5.00E-09,T,Mag Model Vector ECI,,,,big
bct_mag_model_vector_eci2,312,0,sn,16,5.00E-09,T,Mag Model Vector ECI,,,,big
bct_mag_model_vector_eci3,314,0,sn,16,5.00E-09,T,Mag Model Vector ECI,,,,big
bct_mag_model_vector_body1,316,0,sn,16,5.00E-09,T,Mag Model Vector Body,,,,big
bct_mag_model_vector_body2,318,0,sn,16,5.00E-09,T,Mag Model Vector Body,,,,big
bct_mag_model_vector_body3,320,0,sn,16,5.00E-09,T,Mag Model Vector Body,,,,big
bct_sun_model_vector_eci1,322,0,sn,16,4.00E-05,none,Sun Model Vector ECI,,,,big
bct_sun_model_vector_eci2,324,0,sn,16,4.00E-05,none,Sun Model Vector ECI,,,,big
bct_sun_model_vector_eci3,326,0,sn,16,4.00E-05,none,Sun Model Vector ECI,,,,big
bct_moon_model_vector_eci1,328,0,sn,16,4.00E-05,none,Moon Model Vector ECI,,,,big
bct_moon_model_vector_eci2,330,0,sn,16,4.00E-05,none,Moon Model Vector ECI,,,,big
bct_moon_model_vector_eci3,332,0,sn,16,4.00E-05,none,Moon Model Vector ECI,,,,big
bct_orbit_method,334,0,dn,8,1,0/KEPLER 1/GRAVITY_POINT 2/GRAVITY_J2 3/GRAVITY_HARMONIC 4/SGP4 5/EXTERN_ACC_ONLY 6/POLYNOMIAL,Orbit Method,0/KEPLER 1/GRAVITY_POINT 2/GRAVITY_J2 3/GRAVITY_HARMONIC 4/SGP4 5/EXTERN_ACC_ONLY 6/POLYNOMIAL,0,6,big
bct_refs_valid,335,0,dn,8,1,1/YES 0/NO,Refs Valid,1/YES 0/NO,0,1,big
bct_esm_valid,336,0,dn,8,1,1/YES 0/NO,Earth  Sun  Moon valid,1/YES 0/NO,0,1,big
bct_run_low_rate_task,337,0,dn,8,1,1/YES 0/NO,RunLowRateTask,1/YES 0/NO,0,1,big
bct_auto_gps_usage,338,0,dn,8,1,1/YES 0/NO,Auto GPS Usage,1/YES 0/NO,0,1,big
bct_q_body_wrt_eci1,339,0,sn,32,5.00E-10,none,Attitude Quaternion,,,,big
bct_q_body_wrt_eci2,343,0,sn,32,5.00E-10,none,Attitude Quaternion,,,,big
bct_q_body_wrt_eci3,347,0,sn,32,5.00E-10,none,Attitude Quaternion,,,,big
bct_q_body_wrt_eci4,351,0,sn,32,5.00E-10,none,Attitude Quaternion,,,,big
bct_residual1,355,0,sn,32,5.00E-10,rad,Attitude Filter Residual,,,,big
bct_residual2,359,0,sn,32,5.00E-10,rad,Attitude Filter Residual,,,,big
bct_residual3,363,0,sn,32,5.00E-10,rad,Attitude Filter Residual,,,,big
bct_body_rate1,367,0,sn,32,5.00E-09,rad/sec,Body Frame Rate,,,,big
bct_body_rate1_dps,367,0,sn,32,2.86E-07,deg/s,Body Frame Rate (deg/s),,,,big
